Fase Temp Pres Z Fug Vol Ental Entro
liquido 270.00  7.00000000000000E+0001  2.21253071448049E-0001  2.93371817188689E+0001  7.09520671035929E-0005 -9.60460712022965E+0003 -6.36616798882810E+0001
liquido 270.00  6.98000030517578E+0001  2.20753576757253E-0001  2.93186367477861E+0001  7.09947267001826E-0005 -9.60206816225310E+0003 -6.36470191330491E+0001
liquido 270.00  6.95999984741211E+0001  2.20253943260609E-0001  2.93000916290839E+0001  7.10375944816129E-0005 -9.59951545368747E+0003 -6.36323040814188E+0001
liquido 270.00  6.94000015258789E+0001  2.19754209615352E-0001  2.92815477372418E+0001  7.10806691375072E-0005 -9.59694906898499E+0003 -6.36175353951078E+0001
liquido 270.00  6.91999969482422E+0001  2.19254338250885E-0001  2.92630036166941E+0001  7.11239559427933E-0005 -9.59436869037113E+0003 -6.36027114800700E+0001
liquido 270.00  6.90000000000000E+0001  2.18754367878056E-0001  2.92444606410645E+0001  7.11674536123626E-0005 -9.59177439104502E+0003 -6.35878329935743E+0001
liquido 270.00  6.88000030517578E+0001  2.18254280023936E-0001  2.92259180614128E+0001  7.12111658401466E-0005 -9.58916594745099E+0003 -6.35728988909669E+0001
liquido 270.00  6.85999984741211E+0001  2.17754056216552E-0001  2.92073751284540E+0001  7.12550963828654E-0005 -9.58654313211132E+0003 -6.35579081124225E+0001
liquido 270.00  6.84000015258789E+0001  2.17253735250295E-0001  2.91888332145067E+0001  7.12992439964557E-0005 -9.58390601617071E+0003 -6.35428613078818E+0001
liquido 270.00  6.81999969482422E+0001  2.16753279604235E-0001  2.91702908621310E+0001  7.13436141880260E-0005 -9.58125426763499E+0003 -6.35277568286375E+0001
liquido 270.00  6.80000000000000E+0001  2.16252728130683E-0001  2.91517494427599E+0001  7.13882057431167E-0005 -9.57858795615476E+0003 -6.35125953192789E+0001
liquido 270.00  6.78000030517578E+0001  2.15752062433735E-0001  2.91332082054369E+0001  7.14330225531520E-0005 -9.57590684629590E+0003 -6.34973756897539E+0001
liquido 270.00  6.75999984741211E+0001  2.15251264121498E-0001  2.91146663987961E+0001  7.14780685771218E-0005 -9.57321069842302E+0003 -6.34820968337803E+0001
liquido 270.00  6.74000015258789E+0001  2.14750372136760E-0001  2.90961253929169E+0001  7.15233426485994E-0005 -9.57049957974394E+0003 -6.34667593871647E+0001
liquido 270.00  6.71999969482422E+0001  2.14249349022304E-0001  2.90775837282420E+0001  7.15688505266917E-0005 -9.56777314289791E+0003 -6.34513616422009E+0001
liquido 270.00  6.70000000000000E+0001  2.13748233783800E-0001  2.90590427739306E+0001  7.16145910795820E-0005 -9.56503145332042E+0003 -6.34359042283014E+0001
liquido 270.00  6.68000030517578E+0001  2.13247008116558E-0001  2.90405017768005E+0001  7.16605684147931E-0005 -9.56227426263033E+0003 -6.34203860059816E+0001
liquido 270.00  6.65999984741211E+0001  2.12745653723433E-0001  2.90219599831899E+0001  7.17067867127440E-0005 -9.55950131793484E+0003 -6.34048058183511E+0001
liquido 270.00  6.64000015258789E+0001  2.12244209708568E-0001  2.90034187608483E+0001  7.17532448977292E-0005 -9.55671268177785E+0003 -6.33891642843585E+0001
liquido 270.00  6.61999969482422E+0001  2.11742638694697E-0001  2.89848766478357E+0001  7.17999490031251E-0005 -9.55390799014719E+0003 -6.33734596324423E+0001
liquido 270.00  6.60000000000000E+0001  2.11240979854581E-0001  2.89663350109409E+0001  7.18468979936314E-0005 -9.55108730349255E+0003 -6.33576924739511E+0001
liquido 270.00  6.58000030517578E+0001  2.10739214991158E-0001  2.89477930945256E+0001  7.18940962139079E-0005 -9.54825035928104E+0003 -6.33418616154218E+0001
liquido 270.00  6.55999984741211E+0001  2.10237325919005E-0001  2.89292501423959E+0001  7.19415480874808E-0005 -9.54539689012168E+0003 -6.33259658446745E+0001
liquido 270.00  6.54000015258789E+0001  2.09735351918622E-0001  2.89107075198658E+0001  7.19892526445256E-0005 -9.54252695305264E+0003 -6.33100057606453E+0001
liquido 270.00  6.51999969482422E+0001  2.09233255711513E-0001  2.88921637623224E+0001  7.20372162178075E-0005 -9.53964016596575E+0003 -6.32939795224616E+0001
liquido 270.00  6.50000000000000E+0001  2.08731076653448E-0001  2.88736202340716E+0001  7.20854378846350E-0005 -9.53673658343156E+0003 -6.32778877200602E+0001
liquido 270.00  6.48000030517578E+0001  2.08228796674038E-0001  2.88550761767655E+0001  7.21339222506824E-0005 -9.53381592740209E+0003 -6.32617291008583E+0001
liquido 270.00  6.45999984741211E+0001  2.07726397719294E-0001  2.88365308314178E+0001  7.21826740072011E-0005 -9.53087791458325E+0003 -6.32455023920883E+0001
liquido 270.00  6.44000015258789E+0001  2.07223919263501E-0001  2.88179855607832E+0001  7.22316923078635E-0005 -9.52792259552997E+0003 -6.32292081690113E+0001
liquido 270.00  6.41999969482422E+0001  2.06721324148805E-0001  2.87994388972584E+0001  7.22809838132650E-0005 -9.52494956840779E+0003 -6.32128445152890E+0001
liquido 270.00  6.40000000000000E+0001  2.06218651932523E-0001  2.87808922025354E+0001  7.23305477320452E-0005 -9.52195888086954E+0003 -6.31964119955553E+0001
liquido 270.00  6.37999992370605E+0001  2.05715875102540E-0001  2.87623443614973E+0001  7.23803899114210E-0005 -9.51895018024490E+0003 -6.31799089768271E+0001
liquido 270.00  6.35999984741211E+0001  2.05213004530960E-0001  2.87437956734135E+0001  7.24305124784635E-0005 -9.51592333841539E+0003 -6.31633350660582E+0001
