Temp P_Vapor Z_Liq Fug_Liq Vol_Liq H_Liq S_Liq Z_Vap Fug_Vap Vol_Vap H_Vap S_Vap
80.00  7.24841136836139E-0006  4.23975278133581E-0008  7.24840859840726E-0006  3.89042768807074E-0005 -2.13415453902625E+0004 -1.31120922180772E+0002  9.99998787438236E-0001  7.24840257922522E-0006  9.17606089631747E+0002 -5.56507462687340E+0003  6.60849692656595E+0001
80.20  7.69007646875991E-0006  4.48691288493089E-0008  7.69005434496769E-0006  3.89046976986735E-0005 -2.13358229841512E+0004 -1.31049461927201E+0002  9.99998720782436E-0001  7.69006663149118E-0006  8.67069384425994E+0002 -5.56188636656079E+0003  6.56330337397442E+0001
80.40  8.15611093644486E-0006  4.74855959764421E-0008  8.15608466458342E-0006  3.89175649567973E-0005 -2.13262447675632E+0004 -1.30930172585068E+0002  9.99998650865965E-0001  8.15609993277234E-0006  8.19564578511198E+0002 -5.55869226013295E+0003  6.51836452862685E+0001
80.60  8.64767432361271E-0006  5.02420647752893E-0008  8.64767176165237E-0006  3.89325381901436E-0005 -2.13159845536249E+0004 -1.30802807036015E+0002  9.99998577556001E-0001  8.64766202279715E-0006  7.74898145307446E+0002 -5.55549255279055E+0003  6.47368090169467E+0001
80.80  9.16605046618945E-0006  5.31336783366235E-0008  9.16604096907537E-0006  3.89411555216075E-0005 -2.13077243622812E+0004 -1.30700504480513E+0002  9.99998500703873E-0001  9.16603672358538E-0006  7.32889164769961E+0002 -5.55228700193646E+0003  6.42925286435164E+0001
81.00  9.71249990523251E-0006  5.61657492997706E-0008  9.71246163778745E-0006  3.89436446383445E-0005 -2.13013726285619E+0004 -1.30621974972856E+0002  9.99998420167189E-0001  9.71248456112988E-0006  6.93368887612364E+0002 -5.54907585366412E+0003  6.38508050945681E+0001
81.20  1.02883906589948E-0005  5.93668494057052E-0008  1.02883516443817E-0005  3.89550272387863E-0005 -2.12922563072372E+0004 -1.30509576110091E+0002  9.99998335790647E-0001  1.02883735369863E-0005  6.56173652458000E+0002 -5.54585898734688E+0003  6.34115627464654E+0001
81.40  1.08951609726854E-0005  6.27360207659821E-0008  1.08951418153889E-0005  3.89688646780234E-0005 -2.12823682288025E+0004 -1.30388024912846E+0002  9.99998247411577E-0001  1.08951418779847E-0005  6.21155054239154E+0002 -5.54263628149832E+0003  6.29747717501483E+0001
81.60  1.15342314845921E-0005  6.62605550912380E-0008  1.15341828152340E-0005  3.89733384208020E-0005 -2.12754050709549E+0004 -1.30302584443359E+0002  9.99998154873068E-0001  1.15342102025088E-0005  5.88182010494495E+0002 -5.53940798355129E+0003  6.25405009829218E+0001
81.80  1.22071801075789E-0005  6.99699709313223E-0008  1.22071250402312E-0005  3.89817019832877E-0005 -2.12672256098111E+0004 -1.30202474460372E+0002  9.99998057998564E-0001  1.22071564012620E-0005  5.57119372237957E+0002 -5.53617384877956E+0003  6.21086432285802E+0001
82.00  1.29155475621416E-0005  7.38620734457886E-0008  1.29154906701112E-0005  3.89882345462939E-0005 -2.12596031702954E+0004 -1.30109399797047E+0002  9.99997956620198E-0001  1.29155211708246E-0005  5.27850804339232E+0002 -5.53293412551096E+0003  6.16792274565774E+0001
82.20  1.36610144992043E-0005  7.79572712440637E-0008  1.36609475144324E-0005  3.89992894394760E-0005 -2.12506067531974E+0004 -1.29999801050829E+0002  9.99997850553423E-0001  1.36609851356444E-0005  5.00263862372640E+0002 -5.52968869208486E+0003  6.12522276925854E+0001
82.40  1.44453356390050E-0005  8.22512649917674E-0008  1.44452628560014E-0005  3.90079740665686E-0005 -2.12423323329666E+0004 -1.29899252122726E+0002  9.99997739606733E-0001  1.44453029869367E-0005  4.74252716929168E+0002 -5.52643742598181E+0003  6.08276011871316E+0001
82.60  1.52702433677080E-0005  8.67669194015187E-0008  1.52701657900987E-0005  3.90210951125790E-0005 -2.12327050834148E+0004 -1.29782564177983E+0002  9.99997623595413E-0001  1.52702070795148E-0005  4.49722113586836E+0002 -5.52318057687287E+0003  6.04053648760482E+0001
82.80  1.61376648743652E-0005  9.14934361768700E-0008  1.61375753269398E-0005  3.90293163630195E-0005 -2.12245801813765E+0004 -1.29684328914793E+0002  9.99997502311036E-0001  1.61376245675948E-0005  4.26579441223277E+0002 -5.51991789791428E+0003  5.99854730673752E+0001
83.00  1.70494719087809E-0005  9.64515884888193E-0008  1.70493721101354E-0005  3.90380366794101E-0005 -2.12163029276706E+0004 -1.29584487102846E+0002  9.99997375556830E-0001  1.70494271635241E-0005  4.04741226535908E+0002 -5.51664963967403E+0003  5.95679353037909E+0001
83.20  1.80077108277558E-0005  1.01645579647836E-0007  1.80076055391352E-0005  3.90449311447105E-0005 -2.12085794991390E+0004 -1.29491540993486E+0002  9.99997243115626E-0001  1.80076611827111E-0005  3.84127117358428E+0002 -5.51337567946706E+0003  5.91527169144399E+0001
83.40  1.90145138503563E-0005  1.07105949029664E-0007  1.90143936363772E-0005  3.90576342877225E-0005 -2.11990951885269E+0004 -1.29377674053080E+0002  9.99997104762593E-0001  1.90144587989781E-0005  3.64662481967095E+0002 -5.51009589375227E+0003  5.87397915522535E+0001
83.60  2.00719783829839E-0005  1.12814333876645E-0007  2.00718453398576E-0005  3.90653708113257E-0005 -2.11911222799629E+0004 -1.29282189866826E+0002  9.99996960281887E-0001  2.00719173700064E-0005  3.46279153731702E+0002 -5.50681053444481E+0003  5.83291682375482E+0001
